iter	MAE
0	37.96044742
1	36.88977513
2	35.88411458
3	34.95636423
4	34.07651537
5	33.26020942
6	32.50600222
7	31.80818517
8	31.16574385
9	30.56246798
10	30.00719833
11	29.4998718
12	29.03637747
13	28.60367525
14	28.20765615
15	27.84927824
16	27.51960499
17	27.2173016
18	26.93925512
19	26.68322366
20	26.44963257
21	26.23969353
22	26.04653468
23	25.86684423
24	25.70145759
25	25.55020198
26	25.41162198
27	25.2847928
28	25.16879717
29	25.05666857
30	24.95872688
31	24.86016724
32	24.77286639
33	24.69638743
34	24.62467794
35	24.55964794
36	24.49962998
37	24.44682055
38	24.39547076
39	24.34957823
40	24.30422088
41	24.26553447
42	24.23292953
43	24.20322984
44	24.17209816
45	24.14389322
46	24.11559825
47	24.09072369
48	24.07149052
49	24.05566495
50	24.03240604
51	24.01030637
52	23.98943406
53	23.97041433
54	23.94934438
55	23.93214805
56	23.91727824
57	23.90403245
58	23.89227135
59	23.87766367
60	23.86850343
61	23.8597534
62	23.84898896
63	23.84474055
64	23.83966213
65	23.83520026
66	23.82355438
67	23.81305699
68	23.80640959
69	23.7971045
70	23.79101751
71	23.78068699
72	23.77017206
73	23.76373825
74	23.75344268
75	23.74370516
76	23.73420672
77	23.73238004
78	23.7275377
79	23.72106696
80	23.71721158
81	23.71149864
82	23.70541693
83	23.69988245
84	23.69360891
85	23.69270742
86	23.68911477
87	23.68326591
88	23.67855478
89	23.67441272
90	23.66906864
91	23.66403058
92	23.66052609
93	23.6551853
94	23.64756781
95	23.64708946
96	23.64402397
97	23.63985673
98	23.6356847
99	23.63335849
100	23.62893721
101	23.62379181
102	23.61969048
103	23.61599621
104	23.61142993
105	23.60650814
106	23.60284687
107	23.59924256
108	23.59647482
109	23.59346452
110	23.59017966
111	23.58640048
112	23.5828557
113	23.57724576
114	23.57207881
115	23.56957267
116	23.56685184
117	23.56268793
118	23.55783593
119	23.55383148
120	23.55247141
121	23.54833138
122	23.54629645
123	23.54375235
124	23.54043684
125	23.53733005
126	23.53587933
127	23.53347072
128	23.53092309
129	23.53035498
130	23.52729359
131	23.5239989
132	23.52258614
133	23.52123033
134	23.51810832
135	23.51588325
136	23.51087798
137	23.50743988
138	23.50574326
139	23.50269981
140	23.49724991
141	23.49245733
142	23.48764694
143	23.48530268
144	23.48305579
145	23.48080519
146	23.47740891
147	23.47387858
148	23.47018065
149	23.46817542
150	23.46780091
151	23.46570261
152	23.46272402
153	23.46184038
154	23.45943564
155	23.45796778
156	23.4568519
157	23.45474121
