iter	Passed	Remaining
0	281	140342
1	569	141806
2	878	145484
3	1187	147230
4	1437	142307
5	1700	140034
6	1950	137352
7	2217	136351
8	2416	131810
9	2652	129996
10	2940	130699
11	3244	131940
12	3560	133400
13	4232	146919
14	4517	146054
15	4785	144775
16	5063	143861
17	5350	143269
18	5611	142052
19	5898	141567
20	6177	140900
21	6427	139645
22	6674	138432
23	6961	138071
24	7202	136849
25	7467	136136
26	7720	135254
27	7986	134625
28	8246	133940
29	8490	133023
30	8737	132184
31	8998	131608
32	9276	131270
33	9543	130795
34	9783	129977
35	10027	129242
36	10282	128672
37	10556	128350
38	10794	127591
39	11042	126988
40	11304	126553
41	11555	126010
42	11800	125411
43	12070	125093
44	12293	124302
45	12540	123766
46	12804	123416
47	13064	123019
48	13222	121700
49	13350	120154
50	13589	119638
51	13820	119069
52	14073	118694
53	14332	118372
54	14579	117965
55	14851	117751
56	15094	117309
57	15333	116850
58	15587	116511
59	15851	116246
60	16064	115609
61	16267	114919
62	16490	114389
63	16581	112961
64	16710	111832
65	16856	110844
66	17110	110582
67	17337	110144
68	17575	109782
69	17820	109466
70	18048	109056
71	18287	108711
72	18522	108344
73	18751	107949
74	18981	107559
75	19218	107216
76	19472	106974
77	19691	106537
78	19990	106531
79	20558	107930
80	20895	108090
81	21170	107916
82	21437	107704
83	21692	107427
84	21937	107104
85	22055	106172
86	22290	105815
87	22545	105554
88	22789	105241
89	23054	105026
90	23341	104909
91	23642	104848
92	23936	104754
93	24238	104691
94	24537	104606
95	24649	103735
96	24937	103607
97	25237	103526
98	25507	103319
99	25749	102998
100	26015	102774
101	26303	102633
102	26572	102421
103	26864	102291
104	27129	102059
105	27404	101862
106	27666	101617
107	27935	101395
108	28160	101016
109	28408	100721
110	28670	100474
111	28973	100371
112	29295	100329
113	29594	100206
114	29896	100088
115	30183	99917
116	30501	99846
117	30785	99661
118	31084	99522
119	31379	99368
120	31629	99071
121	31865	98731
122	32103	98399
123	32359	98121
124	32613	97841
125	32861	97540
126	33094	97197
127	33353	96932
128	33604	96645
129	33748	96053
130	33973	95696
131	34208	95369
132	34438	95028
133	34622	94565
134	34864	94263
135	35099	93943
136	35341	93643
137	35574	93319
138	35816	93019
139	36058	92722
140	36328	92497
141	36594	92259
142	36846	91988
143	37089	91694
144	37336	91410
145	37581	91122
146	37837	90862
147	38078	90564
148	38318	90267
149	38561	89977
150	38721	89496
151	39000	89290
152	39259	89038
153	39540	88838
154	39807	88603
155	40056	88329
156	40295	88033
157	40539	87750
158	41023	87981
159	41320	87805
160	41583	87558
161	41826	87266
162	42126	87094
163	42411	86890
164	42641	86575
165	42873	86264
166	43104	85950
167	43328	85625
168	43560	85316
169	44078	85564
170	44397	85419
171	44698	85239
172	44955	84974
173	45168	84626
174	45432	84375
175	45645	84029
176	45919	83796
177	46545	84200
178	46809	83942
179	47074	83687
180	47316	83391
181	47581	83137
182	47851	82890
183	48101	82609
184	48349	82324
185	48583	82017
186	48814	81705
187	49035	81377
188	49279	81089
189	49513	80784
190	49757	80497
191	49998	80205
192	50253	79937
193	50397	79492
194	50630	79191
195	50842	78858
196	51104	78602
197	51318	78273
198	51562	77991
199	51792	77689
200	52032	77401
201	52250	77082
202	52485	76789
203	52723	76500
204	52936	76176
205	53177	75893
206	53390	75572
207	53616	75269
208	53808	74919
209	54052	74643
210	54285	74353
211	54526	74073
212	54732	73747
213	54882	73347
214	55127	73076
215	55372	72803
216	55585	72491
217	55760	72131
218	55973	71819
219	56187	71511
220	56472	71293
221	56720	71028
222	56902	70682
223	57105	70362
224	57308	70043
225	57523	69740
226	57730	69428
227	57981	69171
228	58213	68890
229	58428	68590
230	58711	68369
231	58959	68108
232	59206	67845
233	59491	67626
234	59815	67451
235	60087	67216
236	60377	67001
237	60623	66737
238	60884	66489
239	61135	66230
240	61386	65971
241	61628	65703
242	61867	65431
243	62129	65185
244	62410	64958
245	62730	64770
246	63021	64552
247	63300	64321
248	63580	64091
249	63830	63830
250	64069	63559
251	64314	63293
252	64546	63015
253	64812	62770
254	65059	62508
255	65296	62235
256	65561	61990
257	65845	61761
258	66109	61514
259	66364	61259
260	66590	60977
261	66833	60710
262	67106	60472
263	67370	60225
264	67604	59951
265	67904	59735
266	68180	59498
267	68494	59293
268	69094	59333
269	69369	59092
270	69672	58874
271	69940	58626
272	70206	58376
273	70458	58115
274	70729	57869
275	71074	57684
276	71451	57522
277	71791	57330
278	72002	57034
279	72206	56733
280	72408	56432
281	72629	56146
282	72881	55884
283	73119	55612
284	73328	55318
285	73547	55032
286	73787	54762
287	74032	54496
288	74261	54218
289	74512	53957
290	74762	53695
291	74997	53422
292	75229	53148
293	75459	52872
294	75698	52604
295	75912	52318
296	76134	52037
297	76346	51751
298	76555	51463
299	76792	51194
300	77043	50936
301	77258	50652
302	77480	50375
303	77728	50114
304	77994	49865
305	78244	49605
306	78466	49329
307	78683	49049
308	78892	48765
309	79089	48474
310	79301	48192
311	79503	47905
312	79707	47620
313	79953	47360
314	80185	47093
315	80409	46820
316	80616	46538
317	80828	46260
318	81036	45979
319	81282	45721
320	81517	45456
321	81720	45174
322	81916	44889
323	82116	44606
324	82316	44324
325	82533	44051
326	82733	43770
327	82928	43486
328	83160	43223
329	83429	42978
330	83681	42725
331	83919	42465
332	84158	42205
333	84423	41958
334	84676	41706
335	84877	41428
336	85130	41175
337	85384	40923
338	85612	40659
339	85867	40408
340	86113	40152
341	86333	39885
342	86549	39616
343	86756	39343
344	86991	39082
345	87193	38808
346	87742	38687
347	87979	38427
348	88217	38168
349	88476	37918
350	88741	37670
351	88942	37396
352	89212	37150
353	89469	36899
354	89715	36644
355	89936	36378
356	90182	36123
357	90421	35865
358	90659	35607
359	90931	35362
360	91191	35112
361	91429	34854
362	91651	34590
363	91864	34323
364	92099	34064
365	92323	33801
366	92563	33544
367	92818	33293
368	93047	33032
369	93287	32776
370	93532	32522
371	93780	32268
372	93994	32003
373	94237	31748
374	94496	31498
375	94722	31238
376	95004	30996
377	95239	30738
378	95528	30498
379	95765	30241
380	96008	29986
381	96560	29827
382	96900	29601
383	97136	29343
384	97352	29079
385	97646	28838
386	97908	28588
387	98204	28347
388	98504	28107
389	98773	27859
390	99045	27611
391	99281	27353
392	99531	27098
393	99773	26842
394	100014	26586
395	100263	26331
396	100517	26078
397	100804	25834
398	101036	25575
399	101304	25326
400	101538	25068
401	101812	24819
402	102055	24564
403	102291	24306
404	102522	24048
405	102787	23798
406	103032	23543
407	103269	23286
408	103537	23036
409	103782	22781
410	104036	22528
411	104283	22274
412	104535	22020
413	104784	21766
414	105057	21517
415	105337	21270
416	105562	21011
417	105810	20757
418	106038	20499
419	106283	20244
420	106529	19990
421	106771	19734
422	107003	19478
423	107250	19224
424	107519	18973
425	107756	18718
426	107961	18457
427	108161	18195
428	108385	17937
429	108650	17687
430	108889	17432
431	109079	17169
432	109312	16914
433	109539	16658
434	109772	16402
435	110013	16148
436	110214	15888
437	110451	15634
438	110645	15374
439	110866	15118
440	111081	14861
441	111279	14602
442	111512	14348
443	111739	14093
444	111962	13838
445	112156	13579
446	112368	13323
447	112565	13065
448	112800	12812
449	113017	12557
450	113227	12301
451	113420	12044
452	113666	11793
453	113881	11538
454	114110	11285
455	114306	11029
456	114512	10774
457	114714	10519
458	114959	10268
459	115172	10014
460	115417	9764
461	115677	9514
462	115904	9262
463	116112	9008
464	116350	8757
465	116609	8508
466	116993	8267
467	117394	8026
468	117620	7774
469	117826	7520
470	118069	7269
471	118304	7018
472	118530	6766
473	118772	6514
474	119052	6265
475	119274	6013
476	119499	5762
477	119707	5509
478	119959	5259
479	120174	5007
480	120411	4756
481	120968	4517
482	121204	4265
483	121450	4014
484	121662	3762
485	121905	3511
486	122135	3260
487	122374	3009
488	122605	2758
489	122842	2506
490	123122	2256
491	123352	2005
492	123607	1755
493	123875	1504
494	124180	1254
495	124484	1003
496	124771	753
497	125000	502
498	125239	250
499	125507	0
