iter	RMSE
0	76.25921786
1	74.31160139
2	72.49654862
3	70.82446737
4	69.24804702
5	67.79541566
6	66.47762179
7	65.22251869
8	64.08824124
9	63.03760419
10	62.08502161
11	61.1980739
12	60.38550103
13	59.656908
14	58.95427578
15	58.31822748
16	57.74962842
17	57.22614992
18	56.74219396
19	56.29832187
20	55.88197719
21	55.51830396
22	55.17661802
23	54.85862884
24	54.5704637
25	54.30842937
26	54.07277859
27	53.85438563
28	53.64644239
29	53.4577108
30	53.28341992
31	53.12473473
32	52.97812261
33	52.84536915
34	52.71740066
35	52.60200801
36	52.49521094
37	52.40742703
38	52.32350331
39	52.2416111
40	52.17289559
41	52.10142046
42	52.03367504
43	51.97473116
44	51.91925642
45	51.87172543
46	51.8218869
47	51.77630713
48	51.73455343
49	51.69569321
50	51.65544362
51	51.62149884
52	51.59281294
53	51.56058213
54	51.5290077
55	51.49404754
56	51.47013408
57	51.4434124
58	51.41713169
59	51.38853379
60	51.3634987
61	51.34236863
62	51.31618666
63	51.30037854
64	51.27664412
65	51.24786726
66	51.23077375
67	51.21136774
68	51.1935494
69	51.17364608
70	51.15277476
71	51.13476147
72	51.11243537
73	51.0961723
74	51.07589453
75	51.06461413
76	51.04830773
77	51.03269058
78	51.01622801
79	51.0065083
80	50.99657436
81	50.98865126
82	50.97975265
83	50.9658418
84	50.96037494
85	50.95167037
86	50.94088241
87	50.9337065
88	50.91858329
89	50.90048472
90	50.89447416
91	50.88888975
92	50.87852523
93	50.86860147
94	50.85877132
95	50.8548191
96	50.84540976
97	50.84160726
98	50.83613693
99	50.82842722
100	50.82266631
101	50.81606897
102	50.80260092
103	50.79887599
104	50.79605386
105	50.79000214
106	50.78024428
107	50.77141789
108	50.76568656
109	50.76198403
110	50.75040585
111	50.74605869
112	50.73865511
113	50.73444553
114	50.72120581
115	50.71569813
116	50.70839281
117	50.69941688
118	50.69275683
119	50.68444996
120	50.67903148
121	50.67631824
122	50.6676379
123	50.66393712
124	50.65628703
125	50.65443292
126	50.647225
127	50.64034421
128	50.63483497
129	50.62860017
130	50.62063949
131	50.61063738
132	50.6045356
133	50.59939402
134	50.59385915
135	50.5904296
136	50.58763714
137	50.58521521
138	50.58103267
139	50.5764418
140	50.5656758
141	50.55920702
142	50.55213666
143	50.54850768
144	50.5431946
145	50.53914489
146	50.53376626
147	50.52952345
148	50.5236335
149	50.51917108
150	50.51431261
151	50.51003612
152	50.5058062
153	50.50388354
154	50.49676725
155	50.49530935
156	50.49368092
157	50.49028342
158	50.48671263
159	50.48118486
160	50.47465251
161	50.46867195
162	50.46737872
163	50.45866706
164	50.45473171
165	50.4487684
166	50.44420328
167	50.43720478
168	50.43233627
169	50.42555052
170	50.41842709
171	50.41458839
172	50.41085691
173	50.40523748
174	50.40205028
175	50.39815859
176	50.39413818
177	50.38870454
178	50.38814602
179	50.38394257
180	50.37813487
181	50.37414043
182	50.36912645
183	50.3659835
184	50.36292422
185	50.35780902
186	50.35351781
187	50.35122407
188	50.35035514
189	50.34756952
190	50.34575528
191	50.34403618
192	50.34042968
193	50.33630346
194	50.33506499
195	50.33195049
196	50.32739407
197	50.32277574
198	50.31685648
199	50.31318163
200	50.3085972
201	50.30764835
202	50.30675557
203	50.302093
204	50.30155357
205	50.30013686
206	50.29567982
207	50.2951571
208	50.29115879
209	50.2857439
210	50.28018298
211	50.27582468
212	50.27267747
213	50.27133932
214	50.26968958
215	50.26923341
216	50.26424016
217	50.2600949
218	50.25270165
219	50.2474853
220	50.2417032
221	50.23907498
222	50.2350717
223	50.2307699
224	50.22647206
225	50.22217419
226	50.21932607
227	50.21851218
228	50.21439493
229	50.2100296
230	50.20732341
231	50.1994462
232	50.1982568
233	50.19459241
234	50.1908893
235	50.1846602
236	50.17959704
237	50.17600345
238	50.17400157
239	50.16994756
240	50.16510526
241	50.16016747
242	50.15795252
243	50.1556647
244	50.1536104
245	50.151081
246	50.14655143
247	50.14433804
248	50.14054014
249	50.13610279
250	50.13260478
251	50.13247131
252	50.12834244
253	50.12784003
254	50.12267461
255	50.11896645
256	50.11200246
257	50.10761146
258	50.10683045
259	50.10228625
260	50.09900519
261	50.09516353
262	50.09214113
263	50.09012861
264	50.08794675
265	50.08576176
266	50.08218755
267	50.08022979
268	50.07662137
269	50.07507427
270	50.0742192
271	50.07336792
272	50.07152406
273	50.06893065
274	50.06767116
275	50.06597919
276	50.06365838
277	50.05905581
278	50.05646551
279	50.05564052
280	50.05375844
281	50.05205954
282	50.04923733
283	50.04769904
284	50.04557835
285	50.04347335
286	50.04294701
287	50.04151544
288	50.04008105
289	50.03829538
290	50.03467839
291	50.03249674
292	50.02747001
293	50.02633472
294	50.02027518
295	50.01711457
296	50.01295626
297	50.01222056
298	50.00986656
299	50.00640005
300	50.00235526
301	50.00088653
302	49.99861587
303	49.99721455
304	49.99529666
305	49.99129288
306	49.99108786
307	49.98856556
308	49.98620298
309	49.98594977
310	49.98522587
311	49.98303365
312	49.98018259
313	49.97545726
314	49.97331263
315	49.97316883
316	49.96914046
317	49.966325
318	49.96302034
319	49.95875385
320	49.9575129
321	49.95689862
322	49.95634801
323	49.94941724
324	49.94759037
325	49.94641722
326	49.94271252
327	49.94005391
328	49.93352401
329	49.9296091
330	49.92767478
331	49.92717992
332	49.92114407
333	49.91914647
334	49.91518884
335	49.91100826
336	49.90932583
337	49.90803769
338	49.9047303
339	49.90468211
340	49.90364835
341	49.89999843
342	49.89659025
343	49.89612923
344	49.89569386
345	49.8952826
346	49.8911256
347	49.88993289
348	49.88898235
349	49.88859271
350	49.88324018
351	49.88287132
352	49.88132783
353	49.88109224
354	49.87957402
355	49.87585024
356	49.87229306
357	49.87061261
358	49.86876931
359	49.86431484
360	49.86223694
361	49.85922232
362	49.85604507
363	49.85572194
364	49.8520993
365	49.84954222
366	49.84728639
367	49.84621319
368	49.84503409
369	49.84251799
370	49.83973613
371	49.83687294
372	49.83279447
373	49.82933938
374	49.82665632
375	49.82562069
376	49.82549386
377	49.82211772
378	49.81986974
379	49.81816829
380	49.81448508
381	49.81100447
382	49.80791444
383	49.80488076
384	49.80307599
385	49.80169087
386	49.79853506
387	49.79656749
388	49.79501084
389	49.79241954
390	49.79092122
391	49.78854517
392	49.78498642
393	49.78396284
394	49.78212064
395	49.77994522
396	49.77945044
397	49.77736473
398	49.77641018
399	49.77336782
400	49.77044519
401	49.76767355
402	49.76470844
403	49.76156947
404	49.7587501
405	49.75717002
406	49.75565341
407	49.75366278
408	49.75106893
409	49.74793601
410	49.74428375
411	49.74254831
412	49.74117468
413	49.73991408
414	49.73773189
415	49.73536008
416	49.73267303
417	49.72995261
418	49.72890311
419	49.72672621
420	49.72568882
421	49.72213039
422	49.72201683
423	49.72126157
424	49.71654591
425	49.71392233
426	49.7115658
427	49.70874593
428	49.70446638
429	49.70135304
430	49.69843211
431	49.69599506
432	49.69088277
433	49.68992433
434	49.68966604
435	49.68653361
436	49.68255896
437	49.68239247
438	49.6797755
439	49.67780026
440	49.6774695
441	49.67555915
1	46.09686084
442	46.08027246
443	46.07319935
444	46.0614828
445	46.05515013
446	46.04885409
447	46.03897805
448	46.02432676
449	46.01732572
450	46.00400695
451	45.99141846
452	45.98689178
453	45.98001903
454	45.9722374
455	45.96685824
456	45.95857357
457	45.94951243
114
458	45.67888273
459	45.66610655
460	45.65838055
461	45.64650236
462	45.63790843
408928
465	46.16205989
466	46.12891863
467	46.12253293
468	46.11746193
469	46.11276683
470	46.09962047
471	46.08967937
472	46.07128934
473	46.06556689
474	46.05333937
475	46.04588673
476	46.03120861
477	46.02105117
478	46.01517706
479	46.00362766
480	45.99186953
481	45.9899925
482	45.98088688
483	45.95330108
484	45.93900676
485	45.93529556
486	45.92206571
487	45.912798
