iter	Passed	Remaining
0	283	283131
1	561	280308
2	810	269366
3	939	234008
4	1194	237624
5	1448	239896
6	1690	239817
7	1975	244995
8	2227	245258
9	2530	250533
10	2814	253062
11	3082	253762
12	3339	253562
13	3524	248253
14	4101	269354
15	4415	271559
16	4729	273472
17	5024	274135
18	5289	273103
19	5561	272491
20	5881	274187
21	6272	278832
22	6691	284239
23	7026	285751
24	7338	286201
25	7653	286697
26	7819	281806
27	8337	289431
28	8627	288881
29	8921	288474
30	9221	288260
31	9534	288405
32	9888	289760
33	10363	294440
34	10701	295061
35	11057	296103
36	11590	301671
37	11951	302573
38	12212	300921
39	12521	300508
40	12819	299853
41	13145	299840
42	13477	299947
43	13755	298874
44	14034	297833
45	14239	295308
46	14523	294479
47	14781	293169
48	15033	291773
49	15289	290498
50	15583	289973
51	15937	290547
52	16269	290710
53	16610	290986
54	16955	291319
55	17304	291705
56	17626	291603
57	17764	288515
58	18062	288086
59	18316	286954
60	18587	286119
61	18852	285225
62	19223	285909
63	19569	286207
64	19924	286603
65	20069	284011
66	20400	284080
67	20673	283353
68	20956	282762
69	21301	283000
70	21600	282637
71	21877	281979
72	22105	280708
73	22213	277974
74	22464	277062
75	22745	276540
76	22956	275179
77	23227	274559
78	23503	274005
79	23764	273287
80	24028	272624
81	24300	272052
82	24550	271241
83	24779	270216
84	24889	267926
85	25130	267085
86	25379	266340
87	25644	265772
88	25942	265544
89	26171	264624
90	26438	264092
91	26693	263450
92	26943	262774
93	27053	260749
94	27294	260016
95	27559	259523
96	27810	258896
97	28089	258534
98	28353	258046
99	28604	257440
100	28868	256962
101	28998	255297
102	29438	256373
103	29691	255804
104	29947	255265
105	30047	253419
106	30303	252904
107	30566	252460
108	30848	252165
109	31087	251529
110	31331	250934
111	31583	250415
112	31844	249962
113	32096	249452
114	32345	248923
115	32596	248404
116	32743	247113
117	32997	246643
118	33242	246103
119	33478	245510
120	33599	244080
121	33836	243508
122	34094	243095
123	34246	241934
124	34490	241432
125	34850	241743
126	35155	241661
127	35413	241254
128	35696	241020
129	35956	240629
130	36222	240284
131	36469	239811
132	36738	239493
133	36974	238954
134	37253	238700
135	37505	238267
136	37808	238164
137	38138	238228
138	38454	238197
139	38755	238067
140	39025	237750
141	39308	237513
142	39570	237145
143	39828	236755
144	40087	236375
145	40250	235437
146	40502	235023
147	40769	234698
148	41022	234293
149	41310	234091
150	41585	233816
151	41824	233335
152	42122	233186
153	42297	232363
154	42588	232174
155	42885	232021
156	43184	231874
157	43467	231645
158	43745	231381
159	44032	231171
160	44487	231832
161	44747	231471
162	44979	230970
163	45207	230448
164	45518	230351
165	45802	230118
166	46119	230045
167	46441	229997
168	46815	230198
169	47431	231577
170	47764	231559
171	48024	231187
172	48286	230827
173	48566	230552
174	48829	230195
175	48988	229356
176	49276	229120
177	49506	228622
178	49796	228395
179	50063	228067
180	50316	227673
181	50425	226638
182	50659	226169
183	50927	225852
184	51210	225602
185	51444	225139
186	51638	224505
187	51918	224245
188	52164	223838
189	52401	223394
190	52781	223560
191	53156	223700
192	53433	223422
193	53728	223221
194	54233	223888
195	54518	223636
196	54850	223577
197	55182	223516
198	55470	223276
199	55781	223125
200	56164	223260
201	56614	223655
202	57038	223939
203	57433	224102
204	57730	223882
205	58129	224053
206	58474	224010
207	58784	223834
208	59244	224222
209	59779	224883
